emp_id,name,gender,department,city,hire_date,birth_year,salary,performance,satisfaction,overtime_hours,left_company
E0098,سعد العتيبي,ذكر,المبيعات,الرياض,2023-11-27,1992,7250,2,4,12,No
E0059,محمد القحطاني,ذكر,المبيعات,الدمام,2020-06-08,1998,10600,3,,14,لا
E0030,عمر المطيري,ذكر,التقنية,الرياض,2023-08-06,1996,13250,5,8,2,لا
E0281,ريم العتيبي,أنثى,الموارد البشرية,جدة,2021-04-05,1987,6750,5,8,6,لا
E0393,فهد السبيعي,ذكر,مالية,جدة ,2017-08-01,1991,"13,900",3,4,10,لا
E0013,ماجد الغامدي,ذكر,التقنية,الرياض,2022-10-18,2001,13700,3,6,12,لا
E0014,لمى السبيعي,أنثى,المالية,جدة,2025-05-11,2000,7450,4,5,11,لا
E0382,عبدالله السبيعي,ذكر,التقنية,الرياض,2018-12-25,1997,16150,5,5,5,لا
E0322,سعد الحربي,ذكر,المبيعات,الرياض,2014-03-05,1992,11450,3,6,7,لا
E0191,ماجد الحربي,ذكر,المالية,جدة,2020-08-22,1991,8950,2,2,12,لا
E0271,غادة الدوسري,أنثى,Sales,الرياض,2023-07-11,1993,7200,2,5,2,لا
E0161,عبدالله السبيعي,ذكر,المبيعات,الرياض,2021-07-19,1997,7700,3,6,8,لا
E0203,يوسف العتيبي,ذكر,المبيعات,الرياض,2022-03-31,1998,5950,4,5,16,لا
E0182,نورة الدوسري,أنثى,المبيعات,الدمام,2007-09-06,1982,10400,1,4,11,لا
E0249,عمر السبيعي,ذكر,خدمة العملاء,الرياض,2020-08-01,1985,7200 SAR,3,6,17,لا
E0325,ماجد العمري,ذكر,التقنية,الرياض,2023-09-05,1989,11250 SAR,4,4,4,لا
E0144,نورة الغامدي,أنثى,خدمة العملاء,الرياض,2018-04-16,1983,9100,5,8,15,لا
E0075,سعد الحربي,ذكر,موارد بشرية,الرياض,2024-07-28,2000,7350,3,6,6,لا
E0112,فهد السبيعي,ذكر,التقنية,الرياض,2020-01-09,1986,14400,2,4,8,لا
E0227,  عبدالله الغامدي,ذكر,التقنية,الرياض,2021-10-18,1987,18100,4,8,0,لا
E0070,خالد الحربي,ذكر,المبيعات,الرياض,2021-09-17,2000,7550,2,1,5,لا
E0308,خالد العتيبي,ذكر,التقنية,جدة,2022-08-11,2001,10200,4,8,12,لا
E0097,دانة الزهراني,أنثى,خدمة العملاء,جدة,2019-08-31,1995,8900,3,4,18,لا
E0399,منى المطيري,أنثى,الموارد البشرية,الدمام,2024-11-01,2003,9600,2,6,7,نعم
E0268,ريم العمري,أنثى,الموارد البشرية,الرياض,2018-12-28,1987,8700,2,4,17,نعم
E0354,غادة الغامدي,F,التقنية,الرياض,2018-04-29,1996,21450,4,10,0,لا
E0214,عمر المطيري,ذكر,خدمة العملاء,جدة,23/06/2023,1991,7450,4,9,16,لا
E0396,خالد السبيعي,ذكر,المالية,الرياض ,2013-05-17,1985,غير متوفر,5,9,5,لا
E0146,منى الغامدي,F,التقنية,الرياض,2017-05-24,1994,13800,5,8,12,لا
E0110,خالد العمري,ذكر,التقنية,الرياض,10/04/2024,2001,16800,3,5,13,لا
E0010,سعد العمري,ذكر,المبيعات,الدمام,2022-01-04,1991,"9,400",3,5,10,لا
E0006,عبير السبيعي,أنثى,المبيعات,الدمام,2017-03-31,1984,9800,3,6,6,لا
E0353,خالد المطيري,ذكر,المالية,الرياض,2024-04-15,1996,9200,3,3,11,لا
E0160,محمد الشمري,M,المبيعات,الرياض,2023-11-15,1990,,4,7,7,لا
E0346,عبير الزهراني,أنثى,التقنية,الرياض,2023-05-14,1992,19150,4,5,4,لا
E0380,فهد الدوسري,ذكر,خدمة العملاء,الدمام,2021-03-20,1993,8650,2,6,0,لا
E0158,محمد المطيري,ذكر,خدمة العملاء,الرياض,19/11/2023,1999,,4,9,5,No
E0184,سلطان العتيبي,ذكر,المالية,الرياض,2022-01-08,1996,10300,2,4,6,لا
E0237,عبدالله المطيري,M,المبيعات,الرياض,2024-04-14,1994,"7,900",4,4,3,لا
E0390,  ماجد الحربي,ذكر,Sales,الدمام ,02/07/2024,1986,5800,3,4,14,لا
E0042,دانة المطيري,أنثى,المالية,الدمام,2024-02-26,2002,8900,4,,0,نعم
E0206,لمى الغامدي,أنثى,خدمة العملاء,الدمام,2020-10-31,1990,6450 SAR,9,3,10,لا
E0079,دانة القحطاني,أنثى,المالية,الدمام,2021-05-20,1993,10550,2,3,6,لا
E0221,سعد الشمري,ذكر,خدمة العملاء,جدة,2024-01-08,1996,6250,2,2,14,لا
E0193,سلطان القحطاني,ذكر,المبيعات,الدمام,16/12/2023,2002,5850,4,6,3,لا
E0195,سعد الدوسري,ذكر,خدمة العملاء,الرياض,2025-02-28,1991,7850,3,3,17,نعم
E0236,لمى القحطاني,أنثى,المبيعات,الرياض,2025-06-02,2000,7250,3,6,9,لا
E0201,أحمد العتيبي,ذكر,IT,الرياض,2021-07-02,1999,10500,3,4,16,No
E0356,عمر الغامدي,ذكر,Sales,الرياض,2021-07-30,1995,10900,5,9,12,لا
E0189,أحمد الزهراني,ذكر,خدمة العملاء,جدة,31/08/2013,1986,"9,200",4,,10,لا
E0293,سارة السبيعي,أنثى,التقنية,الرياض,07/09/2020,1986,10850,4,10,0,لا
E0105,رهف الحربي,أنثى,المبيعات,الرياض,2015-01-31,1987,12750,3,6,16,لا
E0026,سارة الزهراني,أنثى,Customer Service,الرياض,2013-06-25,1986,10600,3,7,26,لا
E0213,غادة القحطاني,أنثى,مبيعات,الرياض,2023-02-02,1994,6200 SAR,3,6,12,لا
E0001,نورة الزهراني,أنثى,التقنية,الرياض,2024-09-29,1995,14750,5,9,6,لا
E0242,ماجد العتيبي,ذكر,المبيعات,الرياض,26/04/2019,1985,7350,5,10,10,لا
E0340,سعد المطيري,ذكر,الموارد البشرية,الرياض,2023-01-14,1994,9550,4,5,16,لا
E0273,عبدالله الحربي,ذكر,التقنية,جدة,2020-08-28,1986,8500,4,3,10,نعم
E0280,يوسف الحربي,M,المبيعات,الرياض,20/12/2009,1977,14950,3,10,12,لا
E0108,سارة السبيعي,أنثى,خدمة العملاء,الدمام,2020-07-24,1997,8500,4,7,1,لا
E0051,خالد الشمري,ذكر,المالية,الرياض,2023-06-13,1991,11350,4,8,5,لا
E0113,خالد الزهراني,ذكر,خدمة العملاء,الرياض,2015-07-23,1992,10700 SAR,3,9,15,لا
E0115,عبير الدوسري,أنثى,Sales,الدمام,2017-08-15,1989,9950,3,5,17,لا
E0047,خالد الحربي,ذكر,الموارد البشرية,الرياض,2020-08-21,1988,11500,3,3,7,لا
E0197,سلطان الدوسري,ذكر,المبيعات,الرياض,2024-05-26,1995,5450,3,3,12,نعم
E0168,سعد المطيري,ذكر,المبيعات,الرياض,2018-05-16,1995,7100,4,2,12,لا
E0298,خالد الدوسري,ذكر,خدمة العملاء,الدمام,2015-06-06,1993,غير متوفر,2,4,11,لا
E0222,سارة العتيبي,أنثى,التقنية,الدمام,2012-06-27,1989,18700,4,7,12,لا
E0185,سلطان السبيعي,ذكر,خدمة العملاء,الرياض,2019-05-31,1997,7950,4,8,5,No
E0019,غادة الزهراني,أنثى,الموارد البشرية,الرياض,2020-02-14,1991,10100,3,6,14,لا
E0089,ريم العمري,أنثى,المبيعات,الدمام,2014-06-27,1978,120,4,7,15,نعم
E0107,عمر العمري,ذكر,خدمة العملاء,الرياض,2020-10-06,1990,7600,3,,11,No
E0015,خالد الشمري,ذكر,خدمة العملاء,جدة,2017-04-23,1994,غير متوفر,3,7,7,لا
E0366,غادة الغامدي,أنثى,خدمة العملاء,الرياض,2009-03-16,1979,12950,2,6,4,No
E0049,منى الدوسري,أنثى,التقنية,جدة,2022-05-16,1993,"14,000",4,5,9,لا
E0116,محمد الغامدي,ذكر,خدمة العملاء,جدة,2022-08-24,1994,7550,3,6,9,لا
E0081,سعد الغامدي,ذكر,خدمة العملاء,جدة,2022-09-10,1996,7050,2,2,12,لا
E0155,غادة العمري,أنثى, المبيعات,جدة,2024-07-17,1996,6650,3,6,8,لا
E0253,لمى القحطاني,أنثى,Sales,الرياض,2005-01-15,1976,14050,3,10,15,لا
E0172,سلطان الغامدي,ذكر, المبيعات,الرياض,2014-12-14,1993,10050 SAR,5,9,12,لا
E0196,أحمد الغامدي,ذكر,خدمة العملاء,جدة,2020-03-12,1984,غير متوفر,1,,9,لا
E0090,يوسف الغامدي,ذكر,التقنية,الرياض,2023-12-26,2002,غير متوفر,2,6,5,لا
E0232,سلطان الحربي,M,المالية,جدة,2021-06-10,1999,13300,3,4,0,لا
E0217,سعد الشمري,ذكر,خدمة العملاء,جدة,2019-11-01,1990,6550,2,4,14,لا
E0192,سلطان القحطاني,ذكر,الموارد البشرية,الرياض ,2007-09-29,1970,12200,2,5,7,لا
E0013,ماجد الغامدي,ذكر,التقنية,الرياض,2022-10-18,2001,14200,3,6,12,لا
E0376,ماجد الحربي,ذكر,المبيعات,الرياض,2019-04-20,1996,غير متوفر,4,6,9,No
E0260,ريم الزهراني,أنثى,خدمة العملاء,الرياض,31/05/2023,2001,8950,3,4,16,لا
E0258,عبير الحربي,أنثى,الموارد البشرية,جدة,2015-07-05,1991,11150,4,8,6,No
E0063,سعد الغامدي,ذكر,التقنية,الرياض,2024-02-17,1997,9550,3,5,13,لا
E0235,هند القحطاني,أنثى,المبيعات,جدة,15/02/2025,1995,9900,5,10,12,لا
E0046,سعد الزهراني,ذكر,المبيعات,الرياض,2019-04-06,1992,"9,850",3,7,12,لا
E0360,عمر المطيري,ذكر,الموارد البشرية,الرياض,2018-02-17,1988,10200,4,3,12,لا
E0275,سلطان السبيعي,ذكر,المالية,جدة,2024-01-05,2002,"8,750",2,5,1,لا
E0053,خالد العتيبي,ذكر,موارد بشرية,الرياض,2023-08-20,1994,7750,3,3,12,لا
E0345,ريم الزهراني,أنثى,المبيعات,جدة,2022-11-14,1992,8000 SAR,4,7,0,لا
E0096,خالد الشمري,ذكر,المالية,الرياض,2020-05-10,1986,11200,3,6,5,لا
E0207,رهف القحطاني,أنثى,خدمة العملاء,الدمام,2020-04-15,1991,"9,000",5,7,9,لا
E0148,عمر السبيعي,ذكر,المبيعات,الرياض,2005-03-26,1975,13650,4,8,18,No
E0368,رهف الزهراني,أنثى,تقنية المعلومات,جدة,07/06/2020,1998,18650,2,6,8,لا
E0351,محمد الغامدي,M,خدمة العملاء,الرياض,2025-03-03,1997,6650,3,7,12,لا
E0299,عبدالله الشمري,ذكر,المبيعات,الدمام,2023-07-10,1995,10350,3,7,10,لا
E0140,عبير القحطاني,أنثى,المبيعات,الرياض,2024-12-27,1999,8250,3,8,22,لا
E0143,فهد الزهراني,ذكر,المبيعات,جدة,2024-01-13,1990,10400,3,6,7,لا
E0135,يوسف العمري,ذكر,المبيعات,جدة,2022-12-11,1993,6550,2,3,14,لا
E0141,نورة المطيري,F,خدمة العملاء,الرياض,2022-07-03,1890,"7,350",3,10,7,لا
E0210,منى الغامدي,أنثى,الموارد البشرية,الدمام,2022-10-21,1991,9300,3,4,7,نعم
E0190,نورة القحطاني,أنثى,خدمة العملاء,الرياض ,11/08/2012,1984,غير متوفر,1,4,4,لا
E0165,ماجد الزهراني,ذكر,المبيعات,الرياض,2024-05-13,2002,10950,3,7,12,لا
E0289,سارة الغامدي,أنثى,المالية,الدمام,2017-09-03,1996,15550,4,8,4,لا
E0339,فهد المطيري,ذكر,المبيعات,الدمام,2023-05-13,2001,5650,3,5,17,لا
E0101,هند السبيعي,F,التقنية,الرياض,2023-09-25,1988,9900,1,4,0,No
E0388,لمى الشمري,أنثى,المبيعات,الدمام,2020-08-18,1998,8100,4,7,7,لا
E0118,يوسف العتيبي,ذكر,التقنية,الدمام,2021-07-20,1995,12200,3,3,8,لا
E0230,عمر الزهراني,ذكر,المبيعات,الرياض,2023-11-08,1992,7850,3,6,3,لا
E0263,يوسف السبيعي,ذكر,التقنية,الدمام,2022-06-25,2000,15350,3,7,0,لا
E0200,سارة الحربي,F,التقنية,الدمام,2016-04-09,1985,14600,4,9,7,لا
E0072,خالد الغامدي,ذكر,المالية,الرياض,2010-08-03,1986,14150,4,10,8,لا
E0068,هند الدوسري,أنثى,المبيعات,الرياض,2024-03-20,1998,6650,4,6,2,لا
E0269,يوسف الغامدي,M, المبيعات,الرياض,2024-07-13,1990,"5,950",3,5,7,لا
E0335,هند العمري,أنثى,المبيعات,الرياض,2025-03-01,1999,7100,3,1,12,لا
E0323,عمر الغامدي,ذكر,خدمة العملاء,الرياض,2019-05-28,1997,8450,4,5,13,لا
E0054,  نورة الشمري,أنثى,Customer Service,الدمام,2013-03-01,1979,10400,2,4,15,لا
E0310,هند السبيعي,أنثى,المبيعات,الرياض,2021-04-04,1999,7350,3,6,0,لا
E0087,عمر الحربي,ذكر,خدمة العملاء,الرياض,2013-07-07,1992,11100,4,7,2,لا
E0016,خالد الدوسري,ذكر,التقنية,جدة,2023-11-23,1994,"14,900",3,,5,لا
E0300,دانة الزهراني,أنثى,خدمة العملاء,الرياض,2025-02-24,1999,6200,5,7,8,لا
E0292,سلطان العمري,M,خدمة العملاء,جدة,2023-01-09,2000,6800,3,7,6,لا
E0296,ماجد الحربي,ذكر,خدمة العملاء,الدمام,2008-01-20,1982,12050,4,7,11,لا
E0234,لمى السبيعي,أنثى,خدمة العملاء,الرياض,2022-08-24,1997,5400,1,2,11,لا
E0336,ريم المطيري,أنثى,خدمة العملاء,جدة ,2019-11-14,1986,"9,200",4,9,6,لا
E0313,عبير العتيبي,أنثى,Finance,جدة,2022-10-19,1989,10200,4,6,7,لا
E0125,سلطان الغامدي,ذكر,المبيعات,الدمام,2019-09-15,1989,8950,3,6,0,لا
E0076,سعد الحربي,ذكر,Finance,الرياض,29/01/2024,1996,14100 SAR,2,9,11,لا
E0369,خالد الزهراني,ذكر,المبيعات,جدة,06/05/2016,1989,11300,3,8,19,لا
E0109,سلطان العتيبي,ذكر,مالية,الرياض,2022-05-31,1991,9250,4,3,8,No
E0025,خالد المطيري,ذكر,المبيعات,الرياض,2025-04-16,1999,5950,4,8,8,لا
E0342,لمى الغامدي,أنثى,خدمة العملاء,الدمام,2023-04-19,1999,8800,4,6,13,لا
E0171,دانة السبيعي,أنثى,المالية,جدة,19/08/2016,1979,14550,5,9,10,لا
E0312,فهد المطيري,ذكر,المالية,الرياض,2022-10-10,1999,11200,3,3,-4,لا
E0301,خالد القحطاني,ذكر,المبيعات,الرياض,2021-11-16,1993,7450,4,10,5,لا
E0347,أحمد القحطاني,ذكر,التقنية,جدة,2025-05-01,2000,,4,5,13,نعم
E0031,عمر السبيعي,ذكر,المبيعات,الرياض,06/10/2022,1995,8000,4,8,3,لا
E0012,نورة العتيبي,أنثى,المالية,الرياض,2017-08-04,1990,15100,2,8,9,لا
E0121,نورة الحربي,أنثى,المبيعات,الرياض,2021-10-26,1995,10100,5,9,8,لا
E0021,فهد العتيبي,ذكر,مبيعات,الرياض,2023-01-14,1996,9550,3,6,14,No
E0103,عبدالله الحربي,ذكر,خدمة العملاء,جدة,10/05/2023,1995,8900,4,7,0,لا
E0215,خالد الشمري,ذكر,المبيعات,الرياض,2018-10-19,1989,7450,4,7,18,لا
E0316,خالد المطيري,M,التقنية,الرياض,2009-06-02,1987,18600,4,8,5,نعم
E0157,عمر العمري,ذكر,التقنية,الرياض ,2016-02-22,1994,14700,3,7,0,لا
E0282,عمر العمري,ذكر,التقنية,الرياض,2022-11-01,2001,13200,3,6,0,لا
E0061,أحمد الحربي,M,المبيعات,الرياض,2022-07-06,2001,9550,4,8,13,لا
E0127,أحمد السبيعي,ذكر,خدمه العملاء,جدة,2024-02-22,1999,6450,4,5,9,لا
E0183,غادة العمري,أنثى,المبيعات,الرياض,22/12/2023,1999,9300,4,8,6,لا
E0379,دانة القحطاني,أنثى,خدمه العملاء,الرياض,2022-09-20,1995,9000,4,9,4,لا
E0314,لمى المطيري,أنثى,المبيعات,الدمام,2024-01-11,1988,3950,3,5,0,لا
E0265,سلطان الغامدي,ذكر,التقنية,الرياض,2024-05-18,1985,9400,4,3,0,لا
E0179,عمر السبيعي,ذكر,الموارد البشرية,الرياض ,2017-01-09,1995,9850,3,,11,لا
E0307,سلطان القحطاني,M,التقنية,جدة,2018-12-13,1988,14150,3,5,3,لا
E0036,عبدالله الدوسري,ذكر,المالية,جدة,2014-06-06,1985,15100,2,10,8,لا
E0024,سارة الشمري,أنثى,التقنية,الرياض,2018-10-18,1997,15000,3,6,6,لا
E0085,سعد المطيري,ذكر,المبيعات,جدة,2022-10-10,1995,8400,5,,0,No
E0318,  عبدالله القحطاني,ذكر,المبيعات,الرياض,2023-10-12,1998,4850,3,6,14,نعم
E0321,هند الدوسري,أنثى,المالية,جدة,2020-12-28,1986,10300,3,,4,لا
E0295,ماجد العتيبي,ذكر,المبيعات,الرياض,2019-09-08,1997,10800,3,6,6,لا
E0372,لمى القحطاني,أنثى,المالية,الرياض,2022-11-17,1993,10550,3,7,6,لا
E0145,محمد القحطاني,ذكر,المبيعات,الدمام,2024-10-15,1999,5400,4,4,10,لا
E0122,نورة الغامدي,أنثى,المالية,الرياض,2024-12-10,2003,10900,3,4,0,لا
E0065,سارة الزهراني,أنثى,خدمة العملاء,الرياض,2023-07-30,2002,7650,5,8,12,No
E0341,غادة العتيبي,أنثى,مبيعات,الرياض,2023-09-17,2001,7000,4,5,9,لا
E0328,أحمد الشمري,ذكر,المالية,الرياض,2016-09-06,1991,13650 SAR,3,6,0,لا
E0129,خالد القحطاني,ذكر,خدمة العملاء,الرياض,2021-01-01,1999,8700,3,8,11,لا
E0056,محمد الزهراني,ذكر,خدمة العملاء,جدة,2022-11-20,1994,7150,4,,7,لا
E0064,عبير الشمري,أنثى,الموارد البشرية,جدة,2020-02-21,1994,9550,3,5,9,لا
E0018,لمى الشمري,أنثى,Sales,جدة,09/03/2025,1992,98000000,3,8,7,No
E0331,عمر الحربي,ذكر,المبيعات,الرياض,2019-09-28,1988,8050,2,3,13,نعم
E0078,لمى العتيبي,أنثى,المالية,جدة,2024-06-13,1997,9450,4,7,8,No
E0302,يوسف الشمري,ذكر,التقنية,الرياض,2015-01-09,1993,14600,4,7,5,لا
E0337,أحمد المطيري,ذكر,خدمة العملاء,جدة,2021-01-18,1991,8050,4,9,4,لا
E0281,ريم العتيبي,أنثى,الموارد البشرية,جدة,2021-04-05,1987,6750,5,8,6,لا
E0389,سارة الزهراني,أنثى,مالية,جدة,2023-10-07,1996,10500,3,3,3,نعم
E0330,منى القحطاني,أنثى,المالية,الرياض,2021-10-31,1995,14300 SAR,3,10,3,لا
E0181,فهد العمري,ذكر,الموارد البشرية,الدمام ,2018-08-28,1993,9200,4,5,10,لا
E0033,يوسف الشمري,ذكر,المالية,الرياض,10/06/2025,1995,11050,4,6,14,لا
E0257,دانة المطيري,أنثى,المبيعات,الرياض,2020-03-29,1996,9950,2,6,6,لا
E0274,عمر السبيعي,ذكر, المبيعات,الرياض,2024-05-10,1995,8150,3,8,4,لا
E0139,ماجد المطيري,ذكر,خدمة العملاء,جدة,2019-09-21,1985,9850,4,10,11,لا
E0029,ماجد العتيبي,ذكر,خدمة العملاء,الدمام,2024-05-20,2002,غير متوفر,3,7,10,لا
E0291,ريم الغامدي,F,Customer Service,جدة,2024-03-15,1996,"5,950",5,6,15,لا
E0278,عمر الحربي,ذكر,المبيعات,جدة,2008-06-28,1971,12850,2,,13,لا
E0071,عبدالله الدوسري,ذكر,المبيعات,الرياض,08/02/2022,1993,6700,3,7,3,لا
E0220,عمر الزهراني,ذكر,خدمة العملاء,الدمام,2022-03-29,2000,6900,3,4,8,No
E0073,عبير الغامدي,أنثى,المالية,الرياض,2019-10-04,1990,15100,4,9,8,لا
E0114,عبدالله القحطاني,ذكر,المبيعات,جدة,2022-12-14,1992,7150,4,3,10,لا
E0367,هند السبيعي,أنثى,الموارد البشرية,الرياض,2025-05-17,1997,7000,5,3,4,لا
E0251,ريم السبيعي,أنثى,المبيعات,جدة,2024-02-18,2000,8500,2,6,7,لا
E0208,سلطان الحربي,ذكر,المالية,الرياض,2024-02-27,1992,7900,4,5,2,لا
E0386,منى القحطاني,أنثى,المبيعات,جدة,2024-03-03,2002,8200,3,2,7,لا
E0034,يوسف الشمري,ذكر,المبيعات,الرياض,2024-01-21,1992,5450,3,1,10,لا
E0223,نورة العتيبي,أنثى,المالية,جدة,2023-04-04,1998,13050,2,2,14,لا
E0084,لمى العمري,أنثى,التقنية,الرياض,2021-06-27,1999,14100,2,3,9,نعم
E0102,يوسف الغامدي,ذكر,المالية,جدة,2023-05-07,1997,4750,4,3,11,لا
E0365,عبدالله الشمري,ذكر,المالية,جدة,2020-09-06,1984,12450,1,4,8,لا
E0371,يوسف الحربي,ذكر,المبيعات,جدة,2016-11-05,1988,10350,2,5,11,لا
E0290,لمى الشمري,أنثى,التقنية,جدة,2021-01-16,1992,16200,3,7,10,لا
E0226,عمر العتيبي,ذكر,التقنية,الرياض,2005-04-02,1974,14400,4,6,4,لا
E0123,فهد الزهراني,ذكر,خدمة العملاء,الرياض,2024-06-09,1996,غير متوفر,5,9,15,نعم
E0246,سعد الشمري,M,المالية,الدمام,11/08/2021,1991,12650,4,10,7,لا
E0315,أحمد الحربي,ذكر,المبيعات,جدة,2023-09-18,1992,7150,4,4,3,نعم
E0198,ريم القحطاني,F,المبيعات,الدمام,2022-05-14,1989,9100,3,4,11,لا
E0173,عمر الحربي,ذكر,الموارد البشرية,الدمام,2024-02-22,1992,"8,550",4,,0,لا
E0092,غادة الحربي,أنثى,خدمة العملاء,الرياض,2023-04-21,1990,5550 SAR,5,7,9,نعم
E0309,نورة المطيري,أنثى,المالية,جدة,2022-03-12,1987,9450,4,8,4,لا
E0252,عبدالله الحربي,ذكر,المالية,الرياض,2017-06-03,1990,12700,1,,0,لا
E0355,نورة الزهراني,أنثى,التقنية,جدة,2022-01-24,1983,12850 SAR,1,,7,لا
E0095,فهد العمري,M,Finance,الرياض,2015-10-23,1985,12700,4,7,8,لا
E0154,  عبير المطيري,أنثى,خدمة العملاء,جدة,2022-10-05,1997,5200,4,7,11,لا
E0074,  رهف العتيبي,أنثى,Sales,الرياض,2022-01-31,1994,8850,3,4,12,لا
E0028,سلطان الغامدي,ذكر,التقنية,الرياض,2024-11-23,1995,12150,3,2,13,لا
E0219,محمد الغامدي,ذكر,المبيعات,الرياض,2024-07-22,1992,7450,2,5,13,لا
E0218,نورة القحطاني,أنثى,الموارد البشرية,الرياض,09/11/2024,2003,11400,2,7,14,لا
E0247,فهد الدوسري,ذكر,خدمة العملاء,الدمام,2013-03-27,1983,10000,1,2,15,لا
E0130,هند القحطاني,أنثى,المالية,جدة,2024-03-24,1993,10200,5,6,0,لا
E0151,عمر المطيري,ذكر,التقنية,جدة,2024-12-30,2000,10400,3,2,4,نعم
E0186,أحمد الغامدي,ذكر,خدمة العملاء,جدة,2023-04-14,1993,5850,3,8,14,لا
E0238,ماجد العتيبي,ذكر,المبيعات,جدة,2024-04-02,1996,7000,4,5,0,لا
E0338,ماجد العتيبي,ذكر,التقنية,الرياض,2022-07-25,1994,15900,3,3,6,لا
E0176,فهد المطيري,ذكر,التقنية,الرياض,06/09/2013,1987,15150,5,10,9,لا
E0094,فهد السبيعي,ذكر,خدمة العملاء,الدمام,2023-09-16,1991,"7,300",2,3,5,نعم
E0062,غادة القحطاني,أنثى,التقنية,الرياض,10/04/2024,1996,12000,4,7,4,لا
E0329,سعد الحربي,ذكر,خدمة العملاء,الرياض,2024-02-12,1994,6300,4,5,14,لا
E0216,سعد العمري,ذكر,المبيعات,الرياض,2016-07-19,1982,12400,3,6,7,نعم
E0159,يوسف السبيعي,ذكر,مالية,الرياض,2023-07-21,1989,10300,3,2,11,لا
E0150,ريم المطيري,أنثى,التقنية,الرياض,2024-10-03,1991,10900,2,5,1,لا
E0151,عمر المطيري,ذكر,التقنية,جدة,2024-12-30,2000,10400,3,2,4,نعم
E0333,ريم العتيبي,أنثى,المبيعات,الرياض,2012-11-12,1980,8550,3,6,7,لا
E0199,عبدالله القحطاني,ذكر,المالية,الرياض,2024-10-27,2002,14650,3,10,2,لا
E0027,محمد الدوسري,ذكر,خدمة العملاء,الرياض,2023-10-23,1994,6450,4,4,6,نعم
E0162,أحمد العمري,M,مالية,الرياض,2023-11-03,1985,9800,4,9,8,نعم
E0177,يوسف السبيعي,ذكر,المبيعات,جدة,2021-12-04,1987,"6,350",3,2,15,لا
E0283,عمر الشمري,ذكر,المبيعات,جدة,02/06/2023,2001,8150,2,4,8,لا
E0385,عبدالله الدوسري,ذكر,التقنية,الرياض,2013-01-31,1978,17700,3,7,14,لا
E0304,عبير الحربي,أنثى,المبيعات,جدة,2019-12-27,1987,7950,3,6,16,لا
E0305,محمد الزهراني,ذكر,خدمة العملاء,الرياض,2007-09-20,1979,11000,4,,14,Yes
E0060,لمى الشمري,أنثى,موارد بشرية,الدمام,2022-04-25,1989,11600,3,8,4,نعم
